0.0,3.8,2.1,2.4,3.5,4.2,5.0,4.4,5.5,4.2,2.5,3.1,1.9
0.0,0.0,3.8,1.1,1.3,3.3,1.3,1.1,3.4,0.8,1.7,2.5,2.8
0.0,0.0,0.0,3.1,3.0,5.8,4.8,4.9,4.3,4.6,2.2,4.4,1.0
0.0,0.0,0.0,0.0,0.9,3.1,2.5,2.0,3.9,1.8,1.0,2.3,2.1
0.0,0.0,0.0,0.0,0.0,4.2,2.0,2.4,2.7,2.0,1.0,3.4,2.1
0.0,0.0,0.0,0.0,0.0,0.0,3.5,2.7,6.5,2.6,3.8,1.3,4.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85,3.7,0.9,2.7,3.4,3.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.4,2.8,2.7,3.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,3.3,5.7,3.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.6,3.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
